name,address,latitud,longitud,Location
Courtyard by Marriott San Juan Miramar,"801 Ponce de Leon Avenue, San Juan 00907, Puerto Rico",18.455666,-66.082001,"801 Ponce de Leon Avenue, San Juan 00907, Puerto Rico
(18.455666, -66.082001)"
Hotel Melia Ponce,"75 Calle Cristina | P.O. Box 1431, Ponce 00733, Puerto Rico",18.011833,-66.612999,"75 Calle Cristina | P.O. Box 1431, Ponce 00733, Puerto Rico
(18.011833, -66.612999)"
Embassy Suites San Juan Hotel & Casino,"8000 Tartak St., Isla Verde, Carolina 00979, Puerto Rico",18.439333,-66.022163,"8000 Tartak St., Isla Verde, Carolina 00979, Puerto Rico
(18.439333, -66.022163)"
Villa Montana Beach Resort,"Carretera 4466 Km 1.9 Interior | Barrio Bajuras, Isabela 00662, Puerto Rico",18.512829,-67.103172,"Carretera 4466 Km 1.9 Interior | Barrio Bajuras, Isabela 00662, Puerto Rico
(18.512829, -67.103172)"
Monte Rio Hotel,"18 Cesar Gonzalez St., Adjuntas 00601, Puerto Rico",18.161369,-66.723862,"18 Cesar Gonzalez St., Adjuntas 00601, Puerto Rico
(18.161369, -66.723862)"
"El Conquistador Resort, A Waldorf Astoria Resort","1000 El Conquistador Avenue, Fajardo 00738, Puerto Rico",18.358166,-65.627335,"1000 El Conquistador Avenue, Fajardo 00738, Puerto Rico
(18.358166, -65.627335)"
Condado Vanderbilt Hotel,"1055 Ashford Avenue, San Juan 00907, Puerto Rico",18.4585,-66.075928,"1055 Ashford Avenue, San Juan 00907, Puerto Rico
(18.4585, -66.075928)"
Parador Villa Parguera,"Rte 304 Km 3.3 | La Parguera, Lajas 00667, Puerto Rico",17.97382,-67.049316,"Rte 304 Km 3.3 | La Parguera, Lajas 00667, Puerto Rico
(17.97382, -67.049316)"
Aquarius Vacation Club,"Carretera 101, Acceso Balneario Km 18, Boqueron 00622, Puerto Rico",17.979099,-67.200928,"Carretera 101, Acceso Balneario Km 18, Boqueron 00622, Puerto Rico
(17.979099, -67.200928)"
Hotel Belgica,"122 Villa St, Ponce 00716, Puerto Rico",18.010824,-66.615067,"122 Villa St, Ponce 00716, Puerto Rico
(18.010824, -66.615067)"
